Lithography,Processor_Base_Frequency,TDP,Max_Memory_Size,Max_Memory_Bandwidth,Graphics_Base_Frequency
90 nm,3.80 GHz,115 W,,,
90 nm,3.00 GHz,84 W,,,
130 nm,1.70 GHz,30 W,,,
,2.00 GHz,15 W,,,
32 nm,2.90 GHz,65 W,32 GB,21 GB/s,850 MHz
32 nm,2.70 GHz,65 W,32 GB,17 GB/s,850 MHz
180 nm,667 MHz,17.5 W,,,
250 nm,600 MHz,34.5 W,,,
130 nm,3.20 GHz,82 W,,,
90 nm,3.00 GHz,84 W,,,
90 nm,2.80 GHz,103 W,,,
180 nm,1.90 GHz,69.2 W,,,
180 nm,900 MHz,30.7 W,,,
130 nm,933 MHz,20.1 W,,,
130 nm,1.80 GHz,30 W,,,
32 nm,3.00 GHz,65 W,32 GB,21 GB/s,850 MHz
32 nm,2.30 GHz,35 W,32 GB,17 GB/s,650 MHz
45 nm,3.33 GHz,65 W,,,
130 nm,1.20 GHz,12 W,,,
90 nm,1.60 GHz,27 W,,,
250 nm,600 MHz,34.5 W,,,
180 nm,600 MHz,19.5 W,,,
65 nm,3.60 GHz,130 W,,,
90 nm,3.20 GHz,103 W,,,
90 nm,3.60 GHz,115 W,,,
90 nm,3.00 GHz,84 W,,,
90 nm,3.06 GHz,84 W,,,
130 nm,2.80 GHz,68.4 W,,,
130 nm,1.80 GHz,68.1 W,,,
180 nm,850 MHz,27.5 W,,,
130 nm,866 MHz,19.5 W,,,
130 nm,1.90 GHz,32 W,,,
32 nm,2.60 GHz,35 W,32 GB,21 GB/s,650 MHz
32 nm,2.00 GHz,35 W,16 GB,21.3 GB/s,650 MHz
32 nm,2.70 GHz,65 W,32 GB,17 GB/s,850 MHz
,400 MHz,13.1 W,,,
130 nm,1.10 GHz,12 W,,,
180 nm,600 MHz,15.8 W,,,
250 nm,550 MHz,30.8 W,,,
65 nm,3.40 GHz,130 W,,,
90 nm,3.00 GHz,89 W,,,
65 nm,3.60 GHz,86 W,,,
90 nm,3.06 GHz,84 W,,,
90 nm,3.06 GHz,84 W,,,
90 nm,2.80 GHz,84 W,,,
180 nm,1.80 GHz,66.7 W,,,
180 nm,800 MHz,25.9 W,,,
130 nm,2.00 GHz,32 W,,,
32 nm,2.10 GHz,35 W,16 GB,21.3 GB/s,650 MHz
32 nm,3.10 GHz,65 W,32 GB,21 GB/s,850 MHz
32 nm,2.80 GHz,65 W,32 GB,17 GB/s,850 MHz
,366 MHz,13.1 W,,,
,300 MHz,,,,
45 nm,3.20 GHz,65 W,,,
45 nm,3.20 GHz,65 W,,,
65 nm,1.86 GHz,35 W,,,
130 nm,1.30 GHz,22 W,,,
180 nm,550 MHz,14.5 W,,,
65 nm,3.40 GHz,95 W,,,
250 nm,533 MHz,29.7 W,,,
130 nm,3.00 GHz,81.9 W,,,
90 nm,2.80 GHz,84 W,,,
90 nm,2.93 GHz,84 W,,,
130 nm,2.66 GHz,66.1 W,,,
90 nm,3.60 GHz,115 W,,,
130 nm,1.70 GHz,,,,
180 nm,750 MHz,24.6 W,,,
130 nm,650 MHz,7 W,,,
130 nm,2.20 GHz,35 W,,,
32 nm,2.40 GHz,35 W,32 GB,17 GB/s,650 MHz
,266 MHz,,,,
,333 MHz,11.8 W,,,
45 nm,3.00 GHz,65 W,,,
45 nm,2.20 GHz,35 W,,,
65 nm,1.73 GHz,35 W,,,
65 nm,2.40 GHz,65 W,,,
90 nm,1.60 GHz,7.5 W,,,
130 nm,1.40 GHz,22 W,,,
180 nm,533 MHz,14 W,,,
250 nm,500 MHz,28 W,,,
65 nm,3.20 GHz,130 W,,,
90 nm,3.00 GHz,89 W,,,
65 nm,3.40 GHz,86 W,,,
90 nm,2.80 GHz,84 W,,,
90 nm,2.93 GHz,84 W,,,
90 nm,2.66 GHz,89 W,,,
180 nm,1.70 GHz,64 W,,,
180 nm,700 MHz,23 W,,,
130 nm,1.33 GHz,,,,
130 nm,3.20 GHz,76 W,,,
130 nm,2.30 GHz,35 W,,,
32 nm,2.20 GHz,35 W,16 GB,21.3 GB/s,650 MHz
,300 MHz,11.1 W,,,
32 nm,1.20 GHz,17 W,8.01 GB,21.3 GB/s,350 MHz
,233 MHz,17 W,,,
45 nm,2.30 GHz,35 W,,,
45 nm,3.06 GHz,65 W,,,
45 nm,2.80 GHz,65 W,,,
65 nm,1.60 GHz,35 W,,,
90 nm,2.80 GHz,89 W,,,
65 nm,3.20 GHz,95 W,,,
180 nm,500 MHz,13.2 W,,,
130 nm,1.40 GHz,31.2 W,,,
90 nm,2.80 GHz,89 W,,,
90 nm,3.40 GHz,84 W,,,
90 nm,2.80 GHz,84 W,,,
130 nm,2.53 GHz,61.5 W,,,
130 nm,1.60 GHz,38 W,,,
180 nm,650 MHz,21.5 W,,,
130 nm,1.26 GHz,22 W,,,
130 nm,3.06 GHz,70 W,,,
90 nm,3.46 GHz,88 W,,,
130 nm,2.40 GHz,35 W,,,
32 nm,2.90 GHz,65 W,32 GB,17 GB/s,850 MHz
32 nm,2.30 GHz,35 W,16 GB,21.3 GB/s,650 MHz
32 nm,1.30 GHz,17 W,16 GB,21.3 GB/s,350 MHz
32 nm,2.27 GHz,35 W,8 GB,17.1 GB/s,500 MHz
,300 MHz,11.6 W,,,
,200 MHz,15.7 W,,,
,200 MHz,37.9 W,,,
,333 MHz,20.6 W,,,
32 nm,2.93 GHz,73 W,16.38 GB,17 GB/s,533 MHz
45 nm,2.93 GHz,65 W,,,
65 nm,2.20 GHz,65 W,,,
65 nm,1.46 GHz,35 W,,,
130 nm,1.50 GHz,24.5 W,,,
250 nm,450 MHz,25.3 W,,,
90 nm,2.80 GHz,89 W,,,
130 nm,1.33 GHz,29.9 W,,,
65 nm,3.00 GHz,95 W,,,
90 nm,3.20 GHz,130 W,,,
130 nm,2.80 GHz,69.7 W,,,
65 nm,3.20 GHz,86 W,,,
90 nm,2.80 GHz,84 W,,,
180 nm,1.60 GHz,61 W,,,
180 nm,600 MHz,34.5 W,,,
130 nm,1.20 GHz,22 W,,,
130 nm,2.80 GHz,68.4 W,,,
90 nm,3.33 GHz,88 W,,,
130 nm,2.50 GHz,35 W,,,
32 nm,2.40 GHz,35 W,16 GB,21.3 GB/s,650 MHz
32 nm,2.50 GHz,35 W,32 GB,17 GB/s,650 MHz
32 nm,1.40 GHz,17 W,16.38 GB,21.3 GB/s,350 MHz
32 nm,2.13 GHz,35 W,8 GB,17.1 GB/s,500 MHz
,800 MHz,9.8 W,,,
,266 MHz,10.3 W,,,
,166 MHz,13.1 W,,,
,90 MHz,,,,
,200 MHz,35 W,,,
,450 MHz,27.1 W,,,
,300 MHz,21.5 W,,,
32 nm,2.80 GHz,73 W,16.38 GB,17 GB/s,533 MHz
45 nm,2.93 GHz,65 W,,,
45 nm,2.70 GHz,65 W,,,
45 nm,2.10 GHz,35 W,,,
65 nm,2.00 GHz,65 W,,,
90 nm,2.80 GHz,84 W,,,
65 nm,1.86 GHz,31 W,,,
90 nm,1.50 GHz,7.5 W,,,
130 nm,1.60 GHz,24.5 W,,,
130 nm,1.20 GHz,29.9 W,,,
65 nm,3.00 GHz,95 W,,,
90 nm,3.00 GHz,130 W,,,
90 nm,3.20 GHz,84 W,,,
90 nm,2.66 GHz,84 W,,,
130 nm,2.40 GHz,59.8 W,,,
180 nm,1.50 GHz,57.8 W,,,
180 nm,500 MHz,16.8 W,,,
130 nm,1.13 GHz,21.8 W,,,
130 nm,2.66 GHz,66.1 W,,,
130 nm,2.60 GHz,35 W,,,
90 nm,3.20 GHz,88 W,,,
32 nm,1.50 GHz,17 W,16.38 GB,21.3 GB/s,350 MHz
32 nm,2.00 GHz,35 W,8 GB,17.1 GB/s,500 MHz
32 nm,1.33 GHz,18 W,8 GB,12.8 GB/s,166 MHz
,150 MHz,,,,
,150 MHz,,,,
,75 MHz,,,,
,200 MHz,44 W,,,
,180 MHz,31.7 W,,,
,400 MHz,24.3 W,,,
,266 MHz,16.8 W,,,
,266 MHz,10.3 W,,,
32 nm,2.80 GHz,73 W,16.38 GB,17 GB/s,533 MHz
65 nm,2.16 GHz,35 W,,,
45 nm,2.60 GHz,65 W,,,
65 nm,1.73 GHz,31 W,,,
65 nm,1.80 GHz,65 W,,,
65 nm,3.73 GHz,130 W,,,
130 nm,1.70 GHz,24.5 W,,,
130 nm,1.13 GHz,29.1 W,,,
180 nm,1.10 GHz,33 W,,,
65 nm,2.80 GHz,95 W,,,
90 nm,2.80 GHz,95 W,,,
130 nm,2.60 GHz,69 W,,,
90 nm,3.73 GHz,115 W,,,
130 nm,3.40 GHz,102.9 W,,,
65 nm,3.00 GHz,86 W,,,
90 nm,2.80 GHz,84 W,,,
90 nm,2.66 GHz,84 W,,,
90 nm,2.40 GHz,89 W,,,
180 nm,1.40 GHz,54.7 W,,,
180 nm,450 MHz,15.5 W,,,
130 nm,1.06 GHz,21 W,,,
90 nm,3.06 GHz,88 W,,,
32 nm,1.60 GHz,17 W,16 GB,21.3 GB/s,350 MHz
,1.06 GHz,21 W,,,
,233 MHz,9 W,,,
,133 MHz,,,,
,120 MHz,,,,
,100 MHz,,,,
,166 MHz,35 W,,,
,150 MHz,31.7 W,,,
,350 MHz,21.5 W,,,
,233 MHz,34.8 W,,,
32 nm,1.20 GHz,18 W,8 GB,12.8 GB/s,166 MHz
32 nm,1.86 GHz,35 W,8 GB,17.1 GB/s,500 MHz
45 nm,2.80 GHz,65 W,,,
45 nm,2.00 GHz,35 W,,,
45 nm,2.50 GHz,65 W,,,
65 nm,2.00 GHz,35 W,,,
130 nm,3.00 GHz,81.9 W,,,
65 nm,1.60 GHz,65 W,,,
65 nm,1.60 GHz,31 W,,,
65 nm,3.46 GHz,130 W,,,
90 nm,3.20 GHz,130 W,,,
130 nm,1.50 GHz,24.5 W,,,
180 nm,1.00 GHz,29 W,,,
180 nm,1.00 GHz,29 W,,,
65 nm,2.80 GHz,95 W,,,
90 nm,2.66 GHz,95 W,,,
130 nm,3.06 GHz,81.8 W,,,
130 nm,2.40 GHz,66.2 W,,,
130 nm,3.46 GHz,110.7 W,,,
130 nm,3.20 GHz,92.1 W,,,
90 nm,3.00 GHz,84 W,,,
90 nm,2.80 GHz,84 W,,,
90 nm,2.93 GHz,84 W,,,
90 nm,2.66 GHz,84 W,,,
130 nm,2.26 GHz,58 W,,,
180 nm,1.30 GHz,51.6 W,,,
180 nm,1.00 GHz,34 W,,,
130 nm,1.00 GHz,20.5 W,,,
130 nm,2.40 GHz,59.8 W,,,
22 nm,2.30 GHz,35 W,32 GB,21 GB/s,650 MHz
22 nm,2.70 GHz,55 W,32 GB,21 GB/s,650 MHz
22 nm,2.40 GHz,35 W,32 GB,21 GB/s,650 MHz
22 nm,2.70 GHz,53 W,32 GB,21.3 GB/s,350 MHz
22 nm,2.80 GHz,55 W,32 GB,21 GB/s,650 MHz
22 nm,2.40 GHz,35 W,32 GB,21.3 GB/s,200 MHz
22 nm,2.20 GHz,35 W,32 GB,21.3 GB/s,350 MHz
22 nm,2.80 GHz,53 W,32 GB,21.3 GB/s,350 MHz
22 nm,2.80 GHz,53 W,32 GB,21.3 GB/s,350 MHz
22 nm,2.50 GHz,35 W,32 GB,21.3 GB/s,200 MHz
22 nm,2.90 GHz,53 W,32 GB,21.3 GB/s,350 MHz
14 nm,2.80 GHz,51 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.60 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.40 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.30 GHz,35 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,51 W,64 GB,34.1 GB/s,350 MHz
14 nm,1.60 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,51 W,64 GB,,350 MHz
,2.90 GHz,54 W,64 GB,,350 MHz
14 nm,2.70 GHz,35 W,64 GB,,350 MHz
,2.70 GHz,35 W,64 GB,,350 MHz
14 nm,3.00 GHz,51 W,64 GB,,350 MHz
22 nm,2.41 GHz,10 W,8 GB,,688 MHz
22 nm,2.00 GHz,10 W,8 GB,,688 MHz
22 nm,2.00 GHz,10 W,8 GB,,688 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,2.00 GHz,10 W,8 GB,,250 MHz
14 nm,1.50 GHz,10 W,8 GB,,250 MHz
22 nm,1.60 GHz,4.5 W,4 GB,,313 MHz
22 nm,1.58 GHz,4.3 W,4 GB,,313 MHz
22 nm,1.58 GHz,4.5 W,4 GB,10.66 GB/s,311 MHz
22 nm,2.00 GHz,7.5 W,8 GB,,313 MHz
22 nm,1.86 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.13 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.16 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.16 GHz,7.5 W,8 GB,21.32 GB/s,311 MHz
22 nm,1.60 GHz,7.5 W,8.79 GB,,313 MHz
22 nm,1.86 GHz,7.5 W,8 GB,,313 MHz
22 nm,1.83 GHz,7.5 W,8 GB,,313 MHz
22 nm,1.83 GHz,7.5 W,8 GB,21.32 GB/s,313 MHz
14 nm,1.10 GHz,6 W,8 GB,,200 MHz
14 nm,1.10 GHz,6 W,8 GB,,200 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,1.60 GHz,6 W,8 GB,,320 MHz
14 nm,1.04 GHz,4 W,8 GB,,320 MHz
14 nm,1.04 GHz,4 W,8 GB,,320 MHz
14 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,100 MHz
14 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,1.60 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.00 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.80 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.50 GHz,6 W,16 GB,29.8 GB/s,300 MHz
14 nm,2.20 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.20 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,2.50 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.20 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.10 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.30 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.50 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.60 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.30 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.00 GHz,65 W,64 GB,,350 MHz
14 nm,2.40 GHz,35 W,64 GB,,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.10 GHz,25 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.70 GHz,35 W,64 GB,,350 MHz
14 nm,3.40 GHz,65 W,64 GB,,350 MHz
14 nm,3.50 GHz,65 W,64 GB,,350 MHz
14 nm,2.80 GHz,35 W,64 GB,,350 MHz
14 nm,3.80 GHz,91 W,64 GB,,350 MHz
22 nm,2.90 GHz,55 W,32 GB,25.6 GB/s,650 MHz
32 nm,3.20 GHz,130 W,64.23 GB,51.2 GB/s,
22 nm,3.00 GHz,55 W,32 GB,25.6 GB/s,650 MHz
32 nm,3.30 GHz,130 W,64 GB,51.2 GB/s,
32 nm,3.50 GHz,150 W,64.45 GB,51.2 GB/s,
22 nm,3.70 GHz,130 W,64 GB,59.7 GB/s,
22 nm,3.00 GHz,57 W,32 GB,25.6 GB/s,400 MHz
22 nm,3.40 GHz,130 W,64 GB,59.7 GB/s,
22 nm,3.10 GHz,57 W,32 GB,25.6 GB/s,400 MHz
22 nm,3.60 GHz,130 W,64 GB,59.7 GB/s,
22 nm,3.30 GHz,140 W,64 GB,68 GB/s,
22 nm,3.50 GHz,140 W,64 GB,68 GB/s,
22 nm,3.00 GHz,140 W,64 GB,68 GB/s,
14 nm,3.40 GHz,140 W,128 GB,,
14 nm,3.60 GHz,140 W,128 GB,,
14 nm,3.20 GHz,140 W,128 GB,,
14 nm,3.00 GHz,140 W,128 GB,,
14 nm,4.00 GHz,112 W,64 GB,,
14 nm,4.30 GHz,112 W,64 GB,,
14 nm,3.50 GHz,140 W,128 GB,,
14 nm,3.30 GHz,140 W,128 GB,,
14 nm,3.60 GHz,140 W,128 GB,,
14 nm,2.90 GHz,140 W,128 GB,,
,3.10 GHz,165 W,128 GB,,
,2.80 GHz,165 W,128 GB,,
,2.60 GHz,165 W,128 GB,,
14 nm,1.90 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.70 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.70 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.40 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,3.50 GHz,28 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.80 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.50 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,2.90 GHz,35 W,64 GB,,350 MHz
14 nm,4.20 GHz,91 W,64 GB,,350 MHz
14 nm,3.60 GHz,65 W,64 GB,,350 MHz
14 nm,2.80 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.00 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,2.90 GHz,45 W,64 GB,34.1 GB/s,350 MHz
14 nm,3.10 GHz,45 W,64 GB,34.1 GB/s,350 MHz
,32 MHz,,,,
32 nm,400 MHz,2.2 W,2 GB,1.6 GB/s,
32 nm,,,1 GB,6.4 GB/s,400 MHz
,33 MHz,0.025 W,,,
45 nm,600 MHz,3.3 W,2 GB,,320 MHz
32 nm,,,2 GB,6.4 GB/s,400 MHz
14 nm,1.60 GHz,,8 GB,25.6 GB/s,200 MHz
32 nm,1.60 GHz,3.5 W,2.44 GB,,400 MHz
22 nm,1.33 GHz,3 W,8 GB,,
32 nm,1.86 GHz,10 W,4 GB,6.4 GB/s,400 MHz
22 nm,1.50 GHz,7 W,16 GB,,
130 nm,1.66 GHz,122 W,,,
130 nm,1.60 GHz,122 W,,,
130 nm,900 MHz,90 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.60 GHz,75 W,,,
65 nm,1.60 GHz,130 W,,,
65 nm,1.33 GHz,155 W,,,
65 nm,1.46 GHz,155 W,,,
65 nm,1.60 GHz,185 W,,,
65 nm,1.73 GHz,185 W,,,
90 nm,1.42 GHz,104 W,,,
90 nm,1.66 GHz,104 W,,,
90 nm,1.66 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.66 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.66 GHz,104 W,,,
90 nm,1.40 GHz,104 W,,,
90 nm,1.42 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
90 nm,1.60 GHz,104 W,,,
130 nm,1.00 GHz,100 W,,,
130 nm,1.30 GHz,97 W,,,
130 nm,1.40 GHz,91 W,,,
130 nm,1.50 GHz,107 W,,,
130 nm,1.50 GHz,107 W,,,
130 nm,1.60 GHz,122 W,,,
130 nm,1.66 GHz,122 W,,,
22 nm,1.70 GHz,6 W,16 GB,10.7 GB/s,
22 nm,1.40 GHz,10 W,32 GB,,
22 nm,1.70 GHz,9 W,32 GB,21.3 GB/s,
22 nm,2.40 GHz,14 W,64 GB,25.6 GB/s,
22 nm,1.70 GHz,12 W,32 GB,25.6 GB/s,
22 nm,2.40 GHz,20 W,64 GB,25.6 GB/s,
22 nm,1.25 GHz,6 W,16 GB,,
22 nm,1.70 GHz,7 W,16 GB,,
22 nm,1.70 GHz,7 W,16 GB,,
22 nm,1.25 GHz,9.5 W,32 GB,,
22 nm,1.70 GHz,13 W,32 GB,,
22 nm,2.40 GHz,15 W,64 GB,,
22 nm,2.40 GHz,15 W,64 GB,,
22 nm,2.00 GHz,18 W,32 GB,,
22 nm,2.40 GHz,20 W,64 GB,,
22 nm,2.40 GHz,20 W,64 GB,,
14 nm,2.00 GHz,31 W,256 GB,,
14 nm,2.10 GHz,32 W,256 GB,,
14 nm,1.70 GHz,24 W,256 GB,,
14 nm,1.90 GHz,21.5 W,256 GB,,
14 nm,2.00 GHz,25 W,256 GB,,
14 nm,2.10 GHz,25 W,256 GB,,
14 nm,2.00 GHz,25 W,256 GB,,
14 nm,2.20 GHz,25 W,256 GB,,
14 nm,2.20 GHz,21 W,256 GB,,
14 nm,1.70 GHz,17 W,256 GB,,
14 nm,2.20 GHz,16 W,256 GB,,
14 nm,2.10 GHz,15 W,256 GB,,
14 nm,1.60 GHz,11.5 W,256 GB,,
14 nm,1.50 GHz,9 W,128 GB,,
14 nm,1.60 GHz,9.5 W,128 GB,,
32 nm,1.86 GHz,10 W,4 GB,6.4 GB/s,640 MHz
32 nm,2.13 GHz,10 W,4 GB,6.4 GB/s,640 MHz
